,Product,Price,Score,Reviews
195,AMD Ryzen 3 2200G Allround Game Computer / Gaming PC - Radeon RX 570 4GB - 8GB 2666 RAM + 240GB SSD,559.0,5.0,1
196,Vibox Gaming Desktop 2-5 - Game PC,654.95,4.0,1
197,"Intel i7-9700 Budget Build Game PC / Streaming Computer - RTX 2060 SUPER - 16GB - 512GB SSD (M2.0, NVMe)",1199.0,5.0,1
198,Pcman Game Pc Pro i5-9400f Nvidia GTX 1660TI 16 GB Windows 10 Pro,899.0,4.8,4
199,GMR Supreme i5 9400F - 16GB - 240GB SSD - 1TB - RTX 2060 6GB - Game PC,975.0,5.0,2
200,COMPUGEAR Premium PC8700-8SH - Core i7 - 8GB RAM - 120GB SSD - 1TB HDD - Desktop PC,659.0,5.0,1
201,ScreenON – AMD – Raptor – GamePC.V14117,679.0,2.0,1
202,AMD Ryzen 3 2200G Budget Game Computer / Gaming PC - RX Vega 8 - 8GB 2666 RAM - 240GB SSD - BLAUW,375.0,2.0,2
203,Intel NUC Mini PC | Celeron J3455 - Quad Core | 4 GB DDR3 | 120 GB SSD | Windows 10 Pro,229.0,5.0,1
204,Vibox Gaming Desktop 4-3 - Game PC,599.95,4.5,2
205,Vibox Gaming Desktop 9-1 - Game PC,944.95,4.5,2
206,Vibox Gaming Desktop 22-3 - Game PC,1274.95,4.8,4
207,Vibox Gaming Desktop 3-6 - Game PC,899.95,4.0,2
208,TGC Budget Gaming Computer  (AMD),576.0,5.0,4
209,Vibox Gaming Desktop 21-6 - Game PC,1269.95,4.7,3
210,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - RX 570 4GB - 8GB RAM - 480GB SSD,625.0,5.0,1
211,GMR Supreme i7 9700KF - 16GB - 480GB SSD - 1TB - RTX 2070 8GB - Game PC,1589.0,5.0,1
212,GMR Supreme R3 3200G - 8GB - 240GB SSD - 1TB - GTX 1650 4GB - Game PC,689.0,5.0,1
213,AMD Ryzen 3 3200G Game Computer V.2.5 / Gaming PC LSE2200 - GT 1030 - 8GB DDR4 2666 RAM + 960GB SSD - Windows 10,535.0,2.0,1
214,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - GeForce GTX 1050 Ti 4GB - 16GB RAM - 120GB SSD - 1TB HDD - BLAUW,628.0,4.2,21
