,Product_Name,Price,Review,Number_Of_Reviews,Category
110, HP Probook 440 G7 i3-8gb-256ssd Azerty,"849,00",0 , 0 ,Laptops
111, HP ENVY x360 15-ee0003nb Azerty,"1.069,00",4.5 ,10 ,Laptops
112, HP 17-ca1129nb Azerty,"579,00",4 , 2 ,Laptops
113, HP Pavilion 13-an1023nb Azerty,"749,00",4 , 3 ,Laptops
114, HP Spectre x360 15-eb0000nb Azerty,"1.699,00",0 , 0 ,Laptops
115, MSI GF63 10SCSR-1014BE Azerty,"                    1.249,00",0 , 0 ,Laptops
116, HP 14s-dq1020nb Azerty,"579,00",4.5 , 4 ,Laptops
117, HP ENVY 17-cg0009nb Azerty,"1.299,00",5 , 6 ,Laptops
118, Acer Aspire 5 A515-54G-52D5 Azerty,"749,00",4.5 , 8 ,Laptops
119," Apple MacBook Pro 13"" (2020) 16GB/512GB - 1,7GHz Space Gray AZERTY","2.109,00",4.5 , 3 ,Laptops
120, Acer Swift 3 SF314-58G-796X Azerty,"869,00",4.5 ,37 ,Laptops
121, Acer Spin 3 SP314-54N-58HA Azerty,"                    849,00",4 , 3 ,Laptops
122, Lenovo IdeaPad Duet Chromebook Azerty,"299,00",4.5 , 4 ,Laptops
123, HP Pavilion 14-ce3036nb Azerty,"679,00",3 , 2 ,Laptops
124, HP 15s-fq1064nb Azerty,"                    579,00",0 , 0 ,Laptops
125, Lenovo IdeaPad 330-17AST 81D7007LMB Azerty,"399,00",4.5 , 1 ,Laptops
126, HP 14s-dq1178nb Azerty,"629,00",4 , 1 ,Laptops
127, Lenovo IdeaPad 3 14IIL05 81WD00BKMB Azerty,"419,00",4 , 1 ,Laptops
128, Lenovo IdeaPad Flex 5 15IIL05 81X3004QMB Azerty,"1.179,00",4.5 , 7 ,Laptops
129, Lenovo Gaming 3 15IMH05 81Y400GFMB Azerty,"949,00",4.5 , 3 ,Laptops
130, Apple Macbook Air (2020) MWTK2FN/A Zilver AZERTY,"1.069,00",4.5 ,89 ,Laptops
131, Lenovo IdeaPad 3 14IIL05 81WD00BJMB Azerty,"                    589,00",4 , 1 ,Laptops
132, Apple MacBook Air (2020) MGNA3FN/A Zilver AZERTY,"1.399,00",0 , 0 ,Laptops
133, Acer Aspire 3 A315-56-36JG Azerty,"559,00",4 ,19 ,Laptops
134, Acer Nitro 5 AN515-43-R2RA Azerty,"1.019,00",4.5 ,28 ,Laptops
135, Asus Chromebook C434TA-AI0304 Azerty,"649,00",0 , 0 ,Laptops
136, Lenovo IdeaPad Slim 1-11AST-05 81VR002RMB Azerty,"359,00",0 , 0 ,Laptops
137, HP 17-by2093nb Azerty,"629,00",0 , 0 ,Laptops
138," Apple MacBook Air (2020) 8/256GB 1,1GHz Zilver AZERTY","                    1.249,00",4.5 ,89 ,Laptops
139, Asus VivoBook Flip 14 TP412FA-EC551T-BE Azerty,"                    619,00",4.5 , 4 ,Laptops
140, HP 15-dw1044nb Azerty,"799,00",4.5 , 4 ,Laptops
141, Lenovo Legion 5 15ARH05 82B5008EMB Azerty,"1.029,00",4.5 , 4 ,Laptops
142, Asus VivoBook D705BA-BX041T-BE Azerty,"539,00",0 , 0 ,Laptops
143, Lenovo Chromebook S345-14AST 81WX000CMB Azerty,"                    299,00",0 , 0 ,Laptops
144, HP 14s-fq0023nb Azerty,"699,00",4.5 ,19 ,Laptops
145," Apple MacBook Pro 13"" (2020) MYDA2FN/A Zilver AZERTY","1.449,00",0 , 0 ,Laptops
146," Apple MacBook Pro 13"" (2020) MXK72FN/A Silver AZERTY","1.589,00",5 ,19 ,Laptops
147, HP Pavilion 13-an1017nb Azerty,"599,00",4 , 3 ,Laptops
148, Asus VivoBook 14 F413FA-EB535T-BE Azerty,"629,00",4.5 , 5 ,Laptops
149, HP Pavilion G 15-dk1042nb Azerty,"                    1.199,00",4.5 ,22 ,Laptops
150, Lenovo IdeaPad 3 17IML05 81WC008EMB Azerty,"729,00",0 , 0 ,Laptops
151, HP OMEN 15-dh1038nb Azerty,"1.789,00",4 , 5 ,Laptops
152, HP 15s-fq1054nb Azerty,"479,00",4.5 , 9 ,Laptops
153, Lenovo Legion 5 17IMH05 82B30043MB Azerty,"1.249,00",4.5 , 3 ,Laptops
154, Acer Aspire C27-962 I7511 All-in-One Azerty,"1.349,00",4.5 , 1 ,Desktops
155, HP Pavilion 27-d0015nb All-in-One Azerty,"                    1.099,00",4.5 , 1 ,Desktops
156, HP Slim S01-pF1001nd,"                    599,00",4.5 ,10 ,Desktops
157," Apple iMac 21,5"" (2020) MHK03FN/A AZERTY","1.299,00",5 , 1 ,Desktops
158, HP 22-df0002nb All-in-One Azerty,"699,00",4.5 , 1 ,Desktops
159, HP Pavilion Gaming TG01-1370nd,"1.399,00",4.5 ,36 ,Desktops
160," Apple iMac 27"" (2020) MXWU2FN/A AZERTY","2.249,00",4.5 ,14 ,Desktops
161, HP Pavilion TP01-1800nd,"                    799,00",4.5 ,46 ,Desktops
162," Apple iMac 4K 21,5"" (2020) 16GB/256GB Intel Core i5 AZERTY","1.949,00",5 , 1 ,Desktops
163, HP Pavilion TP01-1540nd,"629,00",4.5 , 4 ,Desktops
164," Apple iMac 27"" (2020) 16GB/512GB Intel Core i5 AZERTY","2.549,00",4.5 ,14 ,Desktops
165, HP Pavilion TP01-1545nd,"899,00",4.5 , 2 ,Desktops
166, Lenovo Legion T530-28APR 90JY007RMH,"1.149,00",4.5 , 9 ,Desktops
167, HP Prodesk 400 G5 DM - 7EM45EA Azerty,"749,00",0 , 0 ,Desktops
168, MSI MAG Codex 5 10SD-097MYS,"1.699,00",5 , 2 ,Desktops
169," Apple iMac 27"" (2020) 16GB/1TB Intel Core i7 AZERTY","3.099,00",4.5 ,14 ,Desktops
170," Apple iMac 27"" (2020) MXWT2FN/A AZERTY","2.049,00",4.5 ,14 ,Desktops
171, Acer Predator Orion 3000 620 I710-04G,"1.399,00",4 , 2 ,Desktops
172, Lenovo IdeaCentre 3 07ADA05 90MV00A0MH,"                    499,00",4.5 , 1 ,Desktops
173, MSI Cubi 5 10M-045EU,"649,00",4 , 1 ,Desktops
174, Acer Aspire TC-886 I5521,"699,00",4.5 ,30 ,Desktops
175, HP Pavilion Gaming TG01-1340nd,"1.299,00",4.5 ,36 ,Desktops
176, HP Pavilion 24-k0018nb All-in-One Azerty,"999,00",0 , 0 ,Desktops
177, Acer Veriton Z4860G i5 - DQ.VRZEH.011,"849,00",4.5 , 1 ,Desktops
