,Product_Name,Price,Review,Number_Of_Reviews,Category
267, Lenovo IdeaCentre 510-15ICK 90LU006KMH,"799,00",4.5 ,30 ,Desktops
268, Lenovo ThinkCentre M75s - 11A9000DMB Azerty,"649,00",4 , 2 ,Desktops
269, Asus Pro D641SC-I39100030R,"549,00",4 , 2 ,Desktops
270, HP Slim S01-aF1001nd,"349,00",4.5 ,10 ,Desktops
271, HP OMEN GT11-0380nd,"1.399,00",4.5 , 1 ,Desktops
272, MSI MEG Trident X 10SE-868MYS,"3.499,00",4.5 , 2 ,Desktops
273, MSI MPG Trident 3 10SI-016EU,"1.399,00",4.5 , 1 ,Desktops
274, Lenovo IdeaCentre 5 14IMB05 90NA006FMH,"649,00",5 , 1 ,Desktops
275, Acer Aspire TC-895 I8005,"879,00",4.5 , 4 ,Desktops
276, Lenovo IdeaCentre 510-15ICK 90LU008TMH,"869,00",4.5 ,30 ,Desktops
277, Lenovo IdeaCentre 5 14IMB05 90NA006EMH,"599,00",0 , 0 ,Desktops
278, Acer Nitro N50-610 I8402,"899,00",4 , 2 ,Desktops
279, HP 22-df0000nb All-in-One Azerty,"599,00",0 , 0 ,Desktops
280, Lenovo IdeaCentre A540-24ICB F0EL00G6MB All-in-One Azerty,"929,00",0 , 0 ,Desktops
281, Lenovo ThinkCentre M920x - 10S1002MMB - Azerty,"1.579,00",0 , 0 ,Desktops
282, Lenovo ThinkCentre P330 - 30CF0034MB - Azerty,"1.549,00",0 , 0 ,Desktops
283, Acer Predator Orion 3000 620 I710-06G,"1.799,00",0 , 0 ,Desktops
284," Apple Mac Mini (2020) 3,0GHz i5 8GB/1TB - 10Gbit/s Ethernet","1.654,00",4.5 ,15 ,Desktops
285, ConceptD 500 i76216G,"1.999,00",0 , 0 ,Desktops
286, Acer Revo RN86 I3512,"519,00",4.5 , 4 ,Desktops
287," Apple iMac 21,5"" (2019) 16GB/256GB 3,0GHz Azerty","2.059,00",5 ,13 ,Desktops
288, Apple Mac Pro (2019) 256 GB,"6.499,00",0 , 0 ,Desktops
289, ConceptD 700 iX5516Q,"1.999,00",0 , 0 ,Desktops
